items,support,ordered_statistics
"frozenset({'mineral water', 'nonfat milk'})",0.0024282701770081154,"[OrderedStatistic(items_base=frozenset({'nonfat milk'}), items_add=frozenset({'mineral water'}), confidence=0.5205479452054794, lift=5.248746645953961)]"
"frozenset({'mineral water', 'chocolate', 'chicken'})",0.0036424052655121735,"[OrderedStatistic(items_base=frozenset({'chocolate', 'chicken'}), items_add=frozenset({'mineral water'}), confidence=0.5181818181818182, lift=5.224888706654171)]"
"frozenset({'spaghetti', 'ground beef', 'chicken'})",0.0023004664834813727,"[OrderedStatistic(items_base=frozenset({'ground beef', 'chicken'}), items_add=frozenset({'spaghetti'}), confidence=0.5070422535211269, lift=6.679043960734103)]"
"frozenset({'mineral water', 'pancakes', 'chicken'})",0.0023004664834813727,"[OrderedStatistic(items_base=frozenset({'pancakes', 'chicken'}), items_add=frozenset({'mineral water'}), confidence=0.5373134328358209, lift=5.417795045391599)]"
"frozenset({'olive oil', 'mineral water', 'chocolate'})",0.003961914499329031,"[OrderedStatistic(items_base=frozenset({'olive oil', 'chocolate'}), items_add=frozenset({'mineral water'}), confidence=0.5081967213114754, lift=5.12420779111036)]"
"frozenset({'mineral water', 'chocolate', 'soup'})",0.0026838775640616016,"[OrderedStatistic(items_base=frozenset({'chocolate', 'soup'}), items_add=frozenset({'mineral water'}), confidence=0.56, lift=5.646546391752578)]"
"frozenset({'eggs', 'mineral water', 'cooking oil'})",0.00306728864464183,"[OrderedStatistic(items_base=frozenset({'eggs', 'cooking oil'}), items_add=frozenset({'mineral water'}), confidence=0.5454545454545454, lift=5.499882849109652)]"
"frozenset({'spaghetti', 'ground beef', 'cooking oil'})",0.0023004664834813727,"[OrderedStatistic(items_base=frozenset({'ground beef', 'cooking oil'}), items_add=frozenset({'spaghetti'}), confidence=0.5714285714285715, lift=7.527176527176528)]"
"frozenset({'mineral water', 'pancakes', 'cooking oil'})",0.002236564636718001,"[OrderedStatistic(items_base=frozenset({'pancakes', 'cooking oil'}), items_add=frozenset({'mineral water'}), confidence=0.5932203389830508, lift=5.981511008212475)]"
"frozenset({'eggs', 'mineral water', 'ground beef'})",0.00479263850725286,"[OrderedStatistic(items_base=frozenset({'eggs', 'ground beef'}), items_add=frozenset({'mineral water'}), confidence=0.5033557046979865, lift=5.075395246661592)]"
"frozenset({'eggs', 'mineral water', 'soup'})",0.0023643683302447442,"[OrderedStatistic(items_base=frozenset({'eggs', 'soup'}), items_add=frozenset({'mineral water'}), confidence=0.5522388059701493, lift=5.568289352208033)]"
"frozenset({'eggs', 'spaghetti', 'red wine'})",0.001789251709374401,"[OrderedStatistic(items_base=frozenset({'eggs', 'red wine'}), items_add=frozenset({'spaghetti'}), confidence=0.5283018867924528, lift=6.959087732672638)]"
"frozenset({'mineral water', 'milk', 'escalope'})",0.0019170554029011438,"[OrderedStatistic(items_base=frozenset({'milk', 'escalope'}), items_add=frozenset({'mineral water'}), confidence=0.5172413793103449, lift=5.215406150017775)]"
"frozenset({'frozen vegetables', 'mineral water', 'ground beef'})",0.004409227426672631,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'ground beef'}), items_add=frozenset({'mineral water'}), confidence=0.5433070866141733, lift=5.478229767026544)]"
"frozenset({'frozen vegetables', 'ground beef', 'spaghetti'})",0.004153620039619145,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'ground beef'}), items_add=frozenset({'spaghetti'}), confidence=0.5118110236220473, lift=6.741860865876616)]"
"frozenset({'frozen vegetables', 'soup', 'milk'})",0.0019170554029011438,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'soup'}), items_add=frozenset({'milk'}), confidence=0.5, lift=8.891477272727272)]"
"frozenset({'frozen vegetables', 'mineral water', 'olive oil'})",0.0031311904914052015,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'olive oil'}), items_add=frozenset({'mineral water'}), confidence=0.5764705882352941, lift=5.812621285627652)]"
"frozenset({'frozen vegetables', 'mineral water', 'soup'})",0.0024282701770081154,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'soup'}), items_add=frozenset({'mineral water'}), confidence=0.6333333333333333, lift=6.385975085910652)]"
"frozenset({'frozen vegetables', 'mineral water', 'turkey'})",0.002108760943191258,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'turkey'}), items_add=frozenset({'mineral water'}), confidence=0.5076923076923077, lift=5.119121728786677)]"
"frozenset({'frozen vegetables', 'spaghetti', 'olive oil'})",0.0027477794108249727,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'olive oil'}), items_add=frozenset({'spaghetti'}), confidence=0.5058823529411764, lift=6.663765102000396)]"
"frozenset({'mineral water', 'ground beef', 'low fat yogurt'})",0.0023004664834813727,"[OrderedStatistic(items_base=frozenset({'ground beef', 'low fat yogurt'}), items_add=frozenset({'mineral water'}), confidence=0.5, lift=5.041559278350515)]"
"frozenset({'mineral water', 'ground beef', 'milk'})",0.005303853281359831,"[OrderedStatistic(items_base=frozenset({'ground beef', 'milk'}), items_add=frozenset({'mineral water'}), confidence=0.5060975609756098, lift=5.1030417085743025)]"
"frozenset({'pancakes', 'mineral water', 'ground beef'})",0.003578503418748802,"[OrderedStatistic(items_base=frozenset({'pancakes', 'ground beef'}), items_add=frozenset({'mineral water'}), confidence=0.5185185185185185, lift=5.228283696067201)]"
"frozenset({'mineral water', 'ground beef', 'soup'})",0.0024282701770081154,"[OrderedStatistic(items_base=frozenset({'ground beef', 'soup'}), items_add=frozenset({'mineral water'}), confidence=0.5205479452054794, lift=5.248746645953961)]"
"frozenset({'spaghetti', 'ground beef', 'shrimp'})",0.0028755831043517158,"[OrderedStatistic(items_base=frozenset({'ground beef', 'shrimp'}), items_add=frozenset({'spaghetti'}), confidence=0.5232558139534884, lift=6.892618040873856)]"
"frozenset({'olive oil', 'mineral water', 'milk'})",0.004089718192855774,"[OrderedStatistic(items_base=frozenset({'olive oil', 'milk'}), items_add=frozenset({'mineral water'}), confidence=0.512, lift=5.162556701030928)]"
"frozenset({'mineral water', 'soup', 'milk'})",0.004089718192855774,"[OrderedStatistic(items_base=frozenset({'soup', 'milk'}), items_add=frozenset({'mineral water'}), confidence=0.5765765765765767, lift=5.8136899786384335)]"
"frozenset({'turkey', 'mineral water', 'milk'})",0.0029394849511150873,"[OrderedStatistic(items_base=frozenset({'turkey', 'milk'}), items_add=frozenset({'mineral water'}), confidence=0.5411764705882353, lift=5.456746513038205)]"
"frozenset({'mineral water', 'nan', 'nonfat milk'})",0.0024282701770081154,"[OrderedStatistic(items_base=frozenset({'nan', 'nonfat milk'}), items_add=frozenset({'mineral water'}), confidence=0.5205479452054794, lift=5.248746645953961)]"
"frozenset({'olive oil', 'mineral water', 'shrimp'})",0.0021726627899546296,"[OrderedStatistic(items_base=frozenset({'olive oil', 'shrimp'}), items_add=frozenset({'mineral water'}), confidence=0.5573770491803278, lift=5.620098867669427)]"
